DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_bondrate.arff,1.237260401,3.343785635,788385.2173,607880.1765,12,0.210526316,0.083333333,0.583333333,7,0.333333333,4,1,5,0.578947368,0.01754386,0.578947368,1,57,1,0.001461988,13,19.62990915,2,57,1.681943147,0.471993643,4.305305304,2.504070377,3.563486865,trees.RandomForest(1): trees.BFTree(2): trees.REPTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_boxing1.arff,0,0,0,0,4,0.033333333,0.25,0.75,3,0,0,1,2,0.65,0.35,0.65,0,120,0,0,8,5.291502622,2,12,0.934068055,0.190564259,12.62301886,2.596060498,4.901590985,trees.J48(1): trees.J48graft(1): trees.FT(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_boxing2.arff,0,0,0,0,4,0.03030303,0.25,0.75,3,0,0,1,2,0.537878788,0.462121212,0.537878788,0,132,0,0,8.333333333,5.507570547,2,12,0.995856066,0.155210319,15.94420214,2.629915019,6.416171761,trees.REPTree(1): trees.SimpleCart(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_braziltourism.arff,1.10914327,5.217279021,227.4785941,297.9299019,9,0.02184466,0.111111111,0.444444444,4,0.444444444,4,1,7,0.77184466,0.002427184,0.77184466,49,412,96,0.025889968,4.25,2.217355783,2,7,1.112087811,0.079978559,16.0337887,1.362337873,13.90482431,trees.LADTree(1): trees.RandomForest(2): trees.BFTree3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_broadway.arff,-0.074502453,-1.157437464,7.107868057,27.33450903,10,0.105263158,0.1,0.6,6,0.3,3,1,5,0.715789474,0.010526316,0.715789474,6,95,9,0.009473684,19.33333333,37.1088489,2,95,1.327171726,0.569682894,3.011519379,2.285293969,2.329667504,trees.FT(1): trees.J48(1): trees.J48graft(1): trees.LADTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_broadwaymult.arff,-0.074787372,-1.143917862,7.081738683,27.33450903,8,0.028070175,0.125,0.5,4,0.375,3,1,7,0.414035088,0.073684211,0.414035088,18,285,27,0.011842105,25.75,46.16907334,2,95,2.475263409,0.482111735,4.395481357,2.601224879,5.134211073,trees.FT(1): trees.LADTree(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_chall101.arff,-0.608060971,-0.038449226,6.927103777,69.56521739,3,0.02173913,0,0.333333333,1,0.333333333,1,0,2,0.934782609,0.065217391,0.934782609,0,138,0,0,3,0,3,3,0.347816914,0.017817575,67.15154567,1.214295263,19.52100201,trees.BFTree(1): trees.FT: trees.J48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_challenger.arff,-0.596861836,-0.146535021,7.057079533,69.56521739,6,0.260869565,0,0.666666667,4,0.166666667,1,0,2,0.565217391,0.434782609,0.565217391,0,23,0,0,7.5,10.37625494,1,23,0.987692509,0.323262364,4.326236326,1.721771745,3.055389737,trees.J48(1): trees.J48graft(1): trees.RandomForest(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_chlamydia.arff,0,0,0,0,4,0.04,0.25,0.75,3,0,0,1,2,0.81,0.19,0.81,0,100,0,0,5.666666667,4.041451884,2,10,0.70147146,0.15481269,13.30514989,2.21461873,4.531097945,trees.FT(1): trees.SimpleCart(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_creditscore.arff,1.900877972,5.885916257,101.2340594,74.82413333,7,0.07,0.285714286,0.428571429,3,0.428571429,3,2,2,0.73,0.27,0.73,0,100,0,0,3.333333333,2.309401077,2,6,0.841464636,0.050674474,13.68492885,0.744151044,16.60529594,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
